public_reference,mileage,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type
1Q9JQN7E,26182,Orange,Nissan,Sentra,New,2019,58876,Coupe,True,Hybrid
YLYEK672,115893,Silver,Nissan,Sentra,Used,2007,29984,Hatchback,False,Hybrid
RFRPQPEX,127649,Brown,Hyundai,Sonata,Used,2002,27148,Coupe,False,Electric
WPRJ6IJH,141668,Yellow,Honda,Accord,Used,2018,30592,Convertible,False,Diesel
8SXNGVYI,197731,Blue,Honda,Civic,Used,2012,26622,Truck,False,Electric
MA226LBA,93147,Red,Volkswagen,Tiguan,Certified Used,2014,41155,Convertible,True,Petrol
1LA14068,89173,Black,Honda,CR-V,Certified Used,2004,35241,Coupe,False,Hybrid
KM5UPZ7M,76449,Orange,Chevrolet,Silverado,New,2024,53359,Convertible,True,Electric
3AGAKS33,131222,Yellow,Kia,Sorento,Used,2007,27458,Coupe,True,Diesel
HAQFTWS2,100316,Silver,Chevrolet,Equinox,Used,2010,32892,Convertible,True,Electric
3K52BJKU,236478,Orange,Chevrolet,Malibu,New,2019,37185,Hatchback,False,Hybrid
V27LSROK,65275,Green,Kia,Sorento,Certified Used,2001,36433,Hatchback,True,Diesel
TBLMPSV0,50548,Orange,Honda,Civic,Used,2004,32103,Coupe,False,Diesel
XBSO6PKU,244748,Yellow,Toyota,RAV4,Certified Used,2002,21760,Convertible,True,Hybrid
GX4P20FP,212030,Orange,Chevrolet,Malibu,New,2015,35914,Truck,False,Diesel
Y6C9AZBH,148147,Blue,Chevrolet,Silverado,Certified Used,2017,35975,Hatchback,False,Petrol
Q9JFU0K2,21435,Black,Chevrolet,Malibu,New,2017,57894,SUV,False,Electric
8YGX6FQV,73011,Yellow,Kia,Sorento,Certified Used,2021,43346,Coupe,True,Electric
NT36M8MS,110509,Blue,Ford,Escape,New,2020,48287,SUV,True,Electric
GRT64X9S,171922,Orange,Chevrolet,Equinox,New,2004,33950,Truck,False,Hybrid
BSGW2PAH,136035,Blue,Honda,Civic,New,2003,39133,Truck,True,Petrol
C9VGJDM5,70205,Yellow,BMW,X5,Used,2020,38914,Coupe,True,Diesel
TZSH6RXY,39506,Green,Chevrolet,Silverado,Used,2006,33369,SUV,False,Hybrid
5TB45Q3H,13653,Blue,Audi,Q5,Certified Used,2006,41930,Convertible,True,Petrol
05JUCSYF,134115,Red,Hyundai,Sonata,Used,2001,26640,Hatchback,False,Petrol
Z59PAKAN,142847,Orange,Kia,Sorento,Certified Used,2022,40268,Sedan,False,Hybrid
DNJVCI1D,147121,Brown,Audi,A6,New,2018,43336,Sedan,False,Diesel
ZEN3PNOI,124773,Orange,Volkswagen,Tiguan,New,2002,36890,Convertible,False,Petrol
1F3S81ES,24681,Orange,Kia,Optima,Used,2019,38526,Coupe,False,Diesel
FKPVNDF5,163340,Red,Ford,Escape,Certified Used,2011,32152,SUV,True,Diesel
2W6T2KKI,227751,Blue,Hyundai,Sonata,New,2019,35802,Truck,True,Electric
879WBJTS,157047,Blue,Toyota,Camry,New,2005,37797,Coupe,True,Hybrid
A3MWYQM5,14909,Brown,Hyundai,Elantra,New,2016,56903,Coupe,False,Electric
A9EQ4W4Y,231407,Green,Ford,F-150,New,2016,36854,Hatchback,True,Electric
GYPABOYD,81782,Green,Toyota,Corolla,Certified Used,2015,40268,Convertible,True,Electric
NXODCWLD,153345,Green,Honda,Civic,Used,2022,32137,Coupe,False,Electric
V1FNPEMA,225791,Blue,Nissan,Altima,Used,2015,24283,Truck,False,Petrol
FFMJ1OGW,58311,Yellow,BMW,3 Series,New,2009,48836,Coupe,False,Electric
2PB0C7QR,213841,Blue,Nissan,Altima,Used,2003,19729,SUV,True,Hybrid
VROMMNBA,97814,Blue,Volkswagen,Passat,New,2004,43897,Coupe,False,Electric
2G9SV4AG,165917,Yellow,Audi,A4,New,2021,45708,Sedan,True,Petrol
SV0QXC9X,112278,Silver,Chevrolet,Malibu,Used,2016,31239,Hatchback,False,Diesel
933LSMJD,38596,Brown,Nissan,Altima,Used,2006,34116,Sedan,False,Hybrid
YGE5N0CX,164094,Red,Honda,Civic,New,2009,38581,Coupe,False,Petrol
7XWYC55N,122320,White,Nissan,Sentra,Used,2016,31660,Coupe,False,Hybrid
QT6JLSL0,98523,Red,Toyota,Camry,New,2005,42104,Sedan,False,Electric
BL8P0VTR,138381,Black,Honda,Accord,Certified Used,2007,32508,Truck,False,Hybrid
ZLSOZ550,124699,Brown,Volkswagen,Tiguan,New,2018,47921,Coupe,False,Petrol
DSX9EWUW,158948,Green,Nissan,Rogue,Used,2022,30028,Hatchback,False,Hybrid
Z1KP9A3P,121093,Red,Chevrolet,Equinox,Certified Used,2021,39468,Truck,True,Hybrid
HI4UO6XG,143405,Grey,Ford,Escape,New,2000,34591,Coupe,True,Hybrid
O047PGSG,147165,Orange,BMW,5 Series,Used,2015,30231,Convertible,True,Electric
T0FO2W6N,19780,Blue,Toyota,RAV4,Certified Used,2023,49756,Hatchback,False,Hybrid
Y2I9YHNN,124439,Brown,Kia,Sportage,Certified Used,2019,39763,SUV,True,Diesel
WMB636R8,2863,Black,Honda,Civic,Certified Used,2013,48091,Convertible,True,Diesel
LJSQWT8H,116464,Black,Toyota,Camry,Certified Used,2020,40291,Sedan,False,Petrol
KZMJ55KV,47790,Brown,BMW,5 Series,Used,2012,35305,Sedan,True,Hybrid
WBKUTWZC,198848,Grey,Kia,Optima,Used,2019,29018,Sedan,False,Petrol
A5G6KX5O,100688,Yellow,Toyota,Camry,Certified Used,2009,38563,SUV,False,Electric
B35489YN,127514,Yellow,Volkswagen,Golf,Certified Used,2019,39673,Coupe,True,Petrol
W6FMH6YQ,205352,Brown,Honda,Civic,New,2011,35571,Convertible,False,Petrol
GRB52TPX,56396,Orange,Honda,Accord,Certified Used,2011,40453,Coupe,True,Electric
1TU465VH,49664,Green,Kia,Optima,New,2012,52072,Sedan,True,Electric
EVSH5GN9,168380,Red,Audi,A6,New,2009,36409,Hatchback,True,Diesel
A9376HOZ,242656,Orange,Audi,A6,Used,2014,22927,Sedan,False,Diesel
2AVFYYVA,78491,Green,Toyota,RAV4,New,2015,47698,Convertible,True,Petrol
GAHFRSVN,16688,Black,Ford,Escape,Used,2001,33249,Sedan,False,Diesel
QIMRIK7N,44493,Red,Kia,Optima,New,2014,52610,Hatchback,True,Electric
50XMY42I,161470,Yellow,BMW,X5,Used,2006,23974,Sedan,False,Hybrid
IMGQ618O,158972,Silver,Hyundai,Tucson,Certified Used,2003,29486,Convertible,True,Electric
6LTII3I7,26312,Brown,Audi,A6,Used,2003,35565,Truck,False,Petrol
I04JXN1K,159071,Green,Volkswagen,Tiguan,Used,2022,30740,Sedan,False,Petrol
9PZHWX9M,123918,Silver,Nissan,Rogue,Used,2003,28941,Truck,True,Petrol
FOOEMA1B,76288,Blue,Nissan,Rogue,New,2021,54047,Sedan,True,Hybrid
9BAOLTIE,239598,Black,Volkswagen,Passat,Certified Used,2020,29927,SUV,True,Hybrid
KH8HEIWE,118814,Orange,BMW,5 Series,Certified Used,2008,35224,Sedan,True,Diesel
9ISDZ7OJ,67369,Blue,Nissan,Rogue,Used,2006,30780,Coupe,False,Petrol
R7RHD56M,139717,Silver,Audi,Q5,New,2022,45338,SUV,False,Diesel
UCI0SAMB,140414,Yellow,Hyundai,Sonata,Certified Used,2021,38689,Sedan,False,Hybrid
WFSNQDKY,114509,Green,Nissan,Sentra,Used,2010,29742,Convertible,True,Diesel
H1VGQVOI,117270,Yellow,Kia,Sportage,Used,2003,28115,SUV,True,Petrol
D5VNUNMQ,56321,White,Hyundai,Elantra,Certified Used,2024,47008,Hatchback,False,Hybrid
BLW5NNUH,243497,Brown,Kia,Sportage,Certified Used,2007,24955,Convertible,True,Electric
JA319EWU,181244,Blue,Chevrolet,Silverado,Used,2017,28334,Coupe,True,Electric
FGPFMIOJ,23,Yellow,Hyundai,Sonata,New,2000,50953,Truck,True,Electric
1S23AF68,217377,Black,Toyota,RAV4,Used,2017,26332,SUV,False,Hybrid
BL0DD3KR,13165,Yellow,Volkswagen,Tiguan,Certified Used,2019,48691,Truck,False,Electric
XMG57KZE,53050,Brown,Audi,A6,Certified Used,2016,46411,Convertible,False,Diesel
9L6FSDRO,93862,Blue,Kia,Optima,Certified Used,2014,41923,Sedan,False,Petrol
SDNVN7RP,242213,Orange,Hyundai,Elantra,Used,2004,20815,Coupe,True,Petrol
RAC9FHX0,130212,Black,BMW,5 Series,Certified Used,2010,34894,SUV,True,Petrol
SM961XOG,113148,Brown,Ford,Escape,New,2005,39928,Sedan,True,Petrol
0V4NGM9G,231413,Orange,Ford,Escape,Certified Used,2011,29453,Truck,True,Petrol
KK3UVTBB,33344,Silver,Chevrolet,Malibu,Used,2004,33111,Truck,False,Electric
GBS3DQQW,136097,Orange,Toyota,RAV4,Certified Used,2015,38545,Convertible,True,Electric
D7EOC043,43059,Silver,Audi,A4,New,2012,51554,Sedan,False,Diesel
RV7PD3JO,182261,Yellow,Nissan,Rogue,New,2011,36580,Sedan,False,Electric
4XYBS329,163721,Black,Kia,Sportage,Certified Used,2011,31324,Coupe,True,Petrol
BH8T9LD9,12145,Brown,Kia,Sorento,New,2016,55444,Hatchback,False,Petrol
R9S0BUJ8,216859,Brown,Chevrolet,Equinox,Used,2017,25690,SUV,False,Petrol
VAAFLP1A,143771,Grey,Honda,CR-V,Used,2021,31576,Truck,False,Diesel
SDVC5QZ0,210854,Black,Volkswagen,Golf,Certified Used,2007,28568,Truck,False,Electric
8BTMUVTM,170062,Red,Honda,CR-V,Used,2008,26302,Sedan,False,Hybrid
J4N0F3Y8,206635,Yellow,Volkswagen,Golf,New,2002,31555,Truck,True,Petrol
2GM7JQ0P,188917,White,Nissan,Altima,Used,2016,27960,Sedan,True,Diesel
PFTLQ4FW,72949,White,Ford,Focus,Used,2004,32667,Hatchback,False,Electric
0E755LY0,126036,Brown,Chevrolet,Silverado,New,2004,39392,Coupe,True,Hybrid
U21NRXJF,123113,Green,Chevrolet,Silverado,New,2014,43080,Coupe,True,Diesel
M5XHBEPY,25166,Red,BMW,3 Series,New,2011,51972,Convertible,False,Petrol
O3F23CHA,211596,Blue,Chevrolet,Malibu,New,2006,32077,Truck,True,Diesel
AZ0856KS,201607,Brown,Kia,Sorento,New,2013,34854,Coupe,True,Petrol
QZKNWYE5,5219,White,Volkswagen,Passat,Used,2007,38870,Coupe,False,Hybrid
W8GY8XPW,237165,Brown,Nissan,Altima,Certified Used,2012,27595,Coupe,False,Hybrid
ZP5OY9PP,65214,Blue,Ford,Escape,Used,2016,35396,Sedan,True,Petrol
XRPGIYGP,221875,Black,Kia,Sportage,New,2005,28780,Coupe,True,Petrol
AZGOXUBZ,176527,Brown,Hyundai,Elantra,New,2017,40615,Truck,False,Electric
GF21W7PJ,221274,Silver,Chevrolet,Silverado,Certified Used,2013,30276,SUV,False,Electric
QQU2ESC6,167422,Black,Hyundai,Elantra,New,2021,43512,Convertible,False,Hybrid
PCZQP2X9,240193,Orange,Ford,F-150,Used,2004,20361,Convertible,False,Electric
HHWWAD39,18844,Silver,Nissan,Altima,Certified Used,2009,43466,SUV,False,Diesel
0ZKP7GYQ,46236,White,BMW,X5,New,2009,50365,Sedan,False,Diesel
06FLHRPA,96208,Orange,Ford,Escape,Used,2011,32554,Truck,False,Electric
HTSLJ0AD,13452,Blue,Audi,Q5,Used,2013,40134,Coupe,False,Hybrid
XKTDYBG6,82031,Grey,Nissan,Altima,Certified Used,2006,36430,Truck,True,Hybrid
K62S9B1J,140406,Green,Volkswagen,Tiguan,Certified Used,2012,34828,Truck,True,Petrol
ZVOQSAUW,195918,Red,Toyota,RAV4,Used,2004,22035,Sedan,False,Petrol
ZC3MPF62,98312,Yellow,Toyota,Camry,Certified Used,2001,34992,Convertible,True,Electric
8I66ZPOR,136713,Green,Ford,Escape,Certified Used,2007,35478,Hatchback,True,Electric
50HAN205,63381,Blue,Toyota,Corolla,Used,2003,29691,Hatchback,True,Diesel
DKGZWMW4,149459,Black,Nissan,Rogue,New,2016,42237,Truck,True,Diesel
BUWPGKSS,164272,White,Ford,Focus,Used,2019,30866,Hatchback,True,Diesel
SBVYG8PJ,85679,Red,Kia,Sorento,New,2013,48160,Coupe,True,Petrol
QO1J1412,182605,Orange,Audi,Q5,New,2014,39697,SUV,True,Diesel
MSGPHSVF,93650,Blue,Hyundai,Elantra,New,2013,48140,Coupe,False,Electric
D5U44W51,49389,White,Chevrolet,Malibu,Certified Used,2017,44572,Hatchback,True,Electric
KODG8XVV,134418,Silver,Nissan,Sentra,Used,2024,35477,Hatchback,False,Hybrid
JR2CSY2E,184535,Green,Kia,Sportage,Used,2005,24306,Coupe,False,Electric
B49HMXC4,124438,Blue,Ford,F-150,Used,2002,25658,Sedan,True,Hybrid
4UJ6DBRZ,212205,Red,Chevrolet,Malibu,New,2020,40506,Coupe,False,Diesel
K005PORT,153420,Red,Kia,Sportage,Used,2000,25886,Sedan,True,Diesel
GI1ZJZPW,239525,Blue,Honda,Civic,New,2013,34220,Sedan,True,Hybrid
TA8R4597,243616,Blue,Honda,CR-V,New,2003,26469,Hatchback,False,Electric
99OEP8VV,186537,Blue,Audi,A6,Used,2015,26051,Convertible,False,Diesel
37056QL6,167013,White,Chevrolet,Silverado,Certified Used,2009,32968,Sedan,True,Petrol
617082BM,198718,Red,Nissan,Altima,Certified Used,2013,29953,Sedan,True,Electric
6NAHY4ES,175157,White,Toyota,Corolla,New,2022,43039,Truck,False,Hybrid
YQDXQJBS,144847,Black,Nissan,Rogue,Certified Used,2020,38537,Sedan,True,Electric
H2A4ALFG,211634,Black,Ford,Focus,New,2023,40102,Sedan,True,Electric
VKRQXE0D,71355,Silver,Ford,Escape,Used,2007,31309,Sedan,True,Hybrid
8YZTEYFD,241851,Grey,Audi,A6,New,2004,26712,Truck,True,Petrol
0V1OU8GU,31843,Orange,Kia,Sportage,New,2011,53024,Convertible,True,Electric
3NL1L5QE,2101,Orange,Honda,Accord,Certified Used,2007,47221,Convertible,False,Petrol
6655TPCD,37342,Orange,Chevrolet,Malibu,Certified Used,2016,47857,Convertible,False,Diesel
50RDHGSG,109017,Yellow,BMW,3 Series,Certified Used,2017,41517,Sedan,True,Petrol
9BKGB1ME,125653,Orange,Volkswagen,Tiguan,New,2014,44886,Hatchback,False,Diesel
6238IRZZ,212274,Black,Hyundai,Elantra,Used,2005,20476,SUV,True,Diesel
GZLBYCL4,83997,Blue,Nissan,Rogue,Used,2016,34857,Convertible,False,Petrol
IKBWPBV7,238002,Silver,Chevrolet,Malibu,Used,2019,25744,Sedan,True,Petrol
387NDORY,167456,Grey,Nissan,Rogue,Certified Used,2019,35710,Convertible,False,Electric
OUDA77M6,129811,Brown,BMW,X5,New,2015,45319,SUV,True,Diesel
EDFUF521,222164,Orange,Honda,CR-V,Used,2021,24849,Coupe,False,Hybrid
MVPZ1A5Q,103118,White,BMW,3 Series,Certified Used,2008,36951,Sedan,False,Electric
IU2X9RUB,213799,Orange,Kia,Sportage,New,2017,35147,Hatchback,False,Hybrid
B9CV8SLX,7687,Blue,Hyundai,Tucson,Used,2002,36278,Sedan,True,Petrol
GBRRPLYI,22535,Orange,Nissan,Sentra,Used,2008,37741,SUV,True,Hybrid
8SIT1VNK,115894,Grey,Kia,Sorento,Used,2024,34329,Convertible,True,Hybrid
VIE058X9,123932,Red,Ford,F-150,Certified Used,2017,40665,SUV,False,Petrol
36JZZP43,140837,Blue,Audi,A6,Used,2014,30586,Sedan,True,Petrol
PG4TW3Z6,28698,Green,BMW,5 Series,New,2004,49593,Coupe,False,Diesel
424O5E5J,69175,Blue,Hyundai,Sonata,New,2020,54999,Convertible,False,Hybrid
J42993AJ,246851,Brown,Chevrolet,Malibu,New,2017,34141,Truck,True,Diesel
ZTQ4RONW,3895,Red,Honda,Civic,Used,2015,38066,Hatchback,False,Electric
03BYHVXB,1125,White,Nissan,Altima,New,2018,57562,Coupe,False,Petrol
RUZE9LNB,99730,Silver,BMW,5 Series,Used,2002,30491,Coupe,False,Petrol
Z028BBQY,202566,White,Ford,Escape,New,2020,38990,Coupe,True,Petrol
HFJRYCKN,87721,Blue,Honda,Accord,New,2022,52699,SUV,False,Electric
96EMDW4Q,202604,Green,Nissan,Sentra,Used,2018,27344,Truck,False,Electric
2XJJZEZ8,150162,Black,Audi,A4,New,2020,46279,Coupe,False,Electric
TPW6LG0K,96468,Brown,Honda,Accord,Used,2014,34622,Convertible,False,Petrol
MPBIOPT4,25153,Silver,Audi,Q5,Certified Used,2003,42833,Hatchback,False,Diesel
H23A0LVZ,54008,Brown,Nissan,Sentra,New,2022,56057,Coupe,False,Petrol
3EU0JCF0,153999,Green,Kia,Sorento,Used,2010,27959,Convertible,True,Petrol
A0Z655NV,91725,Black,Audi,A6,Used,2000,28601,Sedan,False,Hybrid
5W8JZIZG,140268,Grey,Nissan,Altima,Certified Used,2006,34258,Convertible,False,Petrol
K0FC1MBP,162948,Blue,BMW,X5,Certified Used,2022,36518,Sedan,False,Diesel
48PW4P2L,57350,Grey,BMW,3 Series,Certified Used,2017,43484,Truck,True,Electric
VL62YWCL,112996,Grey,Hyundai,Tucson,Used,2003,28597,Coupe,False,Electric
04Y6O9MS,233544,Orange,Hyundai,Tucson,Certified Used,2008,27856,Hatchback,False,Hybrid
0OACPGA8,81112,Grey,Volkswagen,Passat,Certified Used,2020,43441,Coupe,True,Hybrid
PO0S3KVR,217192,Orange,Honda,Accord,New,2023,40803,Hatchback,False,Diesel
18TNHDGY,120208,Silver,BMW,X5,Certified Used,2022,43253,Truck,True,Diesel
RK1ZQ4OA,169940,Brown,Ford,Escape,New,2014,39010,Coupe,False,Electric
GQBZNDNU,126217,Grey,Toyota,RAV4,New,2008,42080,SUV,False,Diesel
M7H4G39A,191152,Green,Honda,Accord,Used,2023,29835,SUV,False,Petrol
DLR6G8DU,45381,Brown,Ford,Escape,New,2013,51102,Truck,False,Diesel
6UMM3DQT,224323,Brown,Chevrolet,Silverado,Used,2015,25502,Coupe,False,Petrol
QN4LFQRA,120848,Yellow,Toyota,RAV4,Used,2001,26707,SUV,False,Electric
XGVUW0IM,65788,Silver,Kia,Sorento,Used,2013,33258,Sedan,True,Diesel
2YPVCEX9,66422,White,Ford,Escape,New,2008,48402,Sedan,True,Petrol
D9IK3OXG,185519,Red,Chevrolet,Silverado,Certified Used,2011,32507,Sedan,False,Petrol
PYEPZD7U,195664,White,Toyota,RAV4,Used,2009,23838,SUV,False,Hybrid
VXW976GJ,44659,Red,Volkswagen,Passat,Certified Used,2004,40088,Convertible,True,Electric
Z5TYD5OJ,115278,Black,BMW,X5,Used,2009,28985,Coupe,False,Petrol
THSBLJSO,92379,Blue,Ford,Focus,Used,2008,31753,Truck,True,Diesel
5NNALNQZ,219190,Black,Volkswagen,Passat,Certified Used,2020,32595,Hatchback,True,Diesel
Q10VISFJ,179214,Red,Honda,Accord,New,2010,37511,Truck,True,Electric
XHOO0DPC,130287,Grey,Volkswagen,Passat,New,2006,37993,Coupe,False,Electric
Z9XU4T08,128309,Brown,Toyota,Corolla,Certified Used,2018,40846,SUV,False,Petrol
7BJ1X9CP,115800,Green,Honda,Accord,Certified Used,2010,37351,Coupe,True,Diesel
ON8CGJLP,3557,Brown,Hyundai,Tucson,Certified Used,2008,43840,SUV,True,Diesel
5TC1D7IV,87501,Silver,Toyota,RAV4,Certified Used,2007,39521,Convertible,False,Electric
HO8BZFYY,29881,Blue,Kia,Sorento,Used,2018,39776,Convertible,True,Petrol
0QNTSGDT,8821,Yellow,Honda,Accord,Certified Used,2021,51996,Sedan,False,Electric
EGW6IBY1,13751,Green,Volkswagen,Tiguan,New,2000,49154,Truck,False,Electric
DLBDD3KI,11468,Yellow,Honda,CR-V,Used,2017,40517,Convertible,False,Hybrid
OER99MZ2,102407,Blue,Honda,Accord,Certified Used,2005,37913,Sedan,True,Diesel
FTFQGMIX,244227,Silver,Toyota,Camry,Used,2015,21878,Hatchback,False,Electric
HU2I3SNR,18641,Blue,Hyundai,Sonata,Certified Used,2018,48316,Truck,True,Hybrid
MPDZV0KU,57974,Silver,Ford,Escape,Used,2019,37620,SUV,True,Diesel
D722MD3U,231512,Brown,Ford,Focus,Certified Used,2010,27288,Sedan,True,Hybrid
KXMH301V,140274,Red,Hyundai,Elantra,New,2002,36702,Convertible,True,Electric
PL23JAFV,38709,Yellow,Audi,A6,Certified Used,2016,46316,Hatchback,False,Hybrid
JUMQC5YL,212226,White,BMW,5 Series,Used,2014,23931,Sedan,False,Electric
RCCZMSBL,9260,Silver,Honda,Accord,New,2015,57417,Truck,True,Hybrid
QV0RDMD2,2290,Blue,Chevrolet,Malibu,Certified Used,2004,45408,Hatchback,True,Petrol
Z8ZUMI69,31899,Brown,Volkswagen,Golf,Used,2002,31934,Sedan,False,Hybrid
31JO0EYU,93386,Orange,Honda,CR-V,Certified Used,2020,42954,Sedan,True,Diesel
LBU4RDB4,140363,White,Ford,F-150,Used,2012,29294,Sedan,True,Hybrid
JWMC43CQ,116241,Grey,Chevrolet,Malibu,New,2010,44128,Sedan,False,Electric
S1AMDE89,45681,Orange,Honda,Civic,Used,2018,37353,Truck,True,Hybrid
H6WRJZJC,121228,Red,Audi,A6,Certified Used,2002,34088,Coupe,True,Hybrid
LC681UO5,32715,Blue,Ford,Focus,Used,2024,41564,Hatchback,True,Petrol
H1KHSAGZ,97587,Yellow,Volkswagen,Tiguan,Certified Used,2013,38319,Coupe,True,Hybrid
1KVLIQQK,229099,Red,BMW,X5,Used,2012,22699,Truck,False,Electric
PLZAL1SI,124152,Brown,Toyota,Camry,New,2011,43846,Convertible,False,Diesel
RCZ3RB2R,41355,Silver,Honda,CR-V,New,2018,54958,Coupe,False,Hybrid
F9DNFB37,181006,Yellow,Toyota,Camry,Used,2019,27368,Hatchback,True,Petrol
RF7GIXWC,212129,Blue,Chevrolet,Silverado,Certified Used,2016,29860,Sedan,False,Electric
OL0MPQOO,71006,Grey,Hyundai,Tucson,Certified Used,2018,42758,Hatchback,False,Diesel
AIMIO71X,68727,Blue,Honda,Civic,Used,2024,38916,Convertible,False,Diesel
DMNZUOG2,10444,Yellow,Honda,Accord,New,2001,47642,Convertible,False,Diesel
SVHDAQ53,18497,Grey,Hyundai,Tucson,Certified Used,2019,49622,Truck,False,Diesel
22BWXE7X,200241,Grey,Hyundai,Sonata,Certified Used,2005,27475,Truck,False,Petrol
3LC0BBWW,227728,White,Kia,Sportage,New,2013,35283,Truck,False,Hybrid
Q1B6XVEF,206329,Orange,Ford,Escape,Certified Used,2006,29505,Coupe,False,Hybrid
MI9867SE,117391,Orange,Chevrolet,Malibu,New,2016,46571,Sedan,True,Electric
N6MDUYN9,157047,Red,Volkswagen,Tiguan,New,2002,33319,Hatchback,False,Hybrid
62VVBMF2,238827,Green,Nissan,Sentra,New,2004,26944,Coupe,True,Hybrid
OBEG9Y3H,123450,Grey,Ford,F-150,Certified Used,2009,36880,SUV,True,Hybrid
DKUHKM87,155034,Silver,Volkswagen,Golf,New,2009,39908,Hatchback,True,Diesel
TKTYGH7C,14807,Red,Kia,Optima,Used,2024,43401,Convertible,False,Electric
VXYB6JB7,186385,Silver,Kia,Sorento,Used,2018,28211,Coupe,True,Petrol
BDDWP6NE,120880,Brown,Audi,A4,New,2009,42706,Coupe,False,Electric
3ENB0ZF9,49660,Orange,Kia,Sorento,Used,2013,37857,Sedan,False,Petrol
XGDBUU3J,107288,Yellow,Volkswagen,Golf,Used,2013,30553,Sedan,False,Petrol
LYBINZ29,39522,Blue,Chevrolet,Equinox,Used,2024,42460,Truck,False,Diesel
L6XTXYZE,49804,Brown,Hyundai,Tucson,Certified Used,2024,46608,Hatchback,True,Petrol
U00XHTDV,9658,Silver,Honda,Civic,Certified Used,2000,42717,Truck,True,Diesel
PCH3W67H,189355,Brown,Honda,CR-V,Used,2005,23847,Convertible,False,Diesel
DGBHYSTU,116870,Blue,Toyota,RAV4,Certified Used,2018,38731,Coupe,True,Hybrid
4SNOSYS9,74083,Silver,Volkswagen,Tiguan,New,2001,44209,Hatchback,True,Diesel
0ZZHHTDP,90303,White,Nissan,Altima,New,2024,53386,Truck,False,Electric
XV4KWE9G,70119,Red,Ford,F-150,New,2024,56818,Truck,False,Petrol
5WW4VJIV,209901,Red,Toyota,Corolla,Certified Used,2002,26865,Convertible,True,Diesel
J02AUDIP,130319,Green,Kia,Optima,New,2008,42850,Sedan,False,Petrol
5M5PIKF0,148316,Brown,Audi,A6,New,2015,41354,Hatchback,True,Diesel
GN54DUJH,95721,Orange,BMW,5 Series,New,2021,49128,Hatchback,False,Diesel
Q7H3NDM4,184862,White,Nissan,Rogue,New,2000,31768,Hatchback,True,Electric
NMMU5XEN,82346,Red,Toyota,Camry,Certified Used,2021,43440,SUV,False,Hybrid
NU783HCP,56266,Brown,Honda,CR-V,Certified Used,2020,46898,Coupe,True,Electric
RBPCES1B,78326,Green,Honda,Accord,New,2014,48886,Coupe,False,Electric
PWJ1AI98,61001,Blue,Volkswagen,Tiguan,Used,2010,35265,Truck,False,Diesel
DU1LOQH7,216709,Brown,Honda,Accord,Used,2002,22320,Coupe,False,Petrol
JIJ3ICEG,197103,Blue,Kia,Optima,Used,2007,23226,SUV,True,Diesel
2CO4HGLO,210769,Black,Volkswagen,Tiguan,New,2005,33289,Hatchback,False,Hybrid
S01YRQ99,1031,Yellow,BMW,5 Series,New,2013,54818,Convertible,True,Hybrid
B9WVDBWO,18778,Black,Honda,CR-V,New,2011,51639,SUV,False,Electric
EQLWN14S,217544,Blue,Audi,A6,Used,2007,23352,SUV,False,Petrol
MJYGD82R,220260,Brown,Ford,Focus,Certified Used,2008,26752,Coupe,True,Petrol
L4VG8KAR,115352,Black,Nissan,Sentra,New,2003,39665,Sedan,True,Electric
KAIRHWTD,239139,Blue,Nissan,Sentra,New,2015,31961,SUV,True,Diesel
46TU9MC3,147607,Brown,BMW,X5,New,2020,43431,Sedan,False,Hybrid
JKNX77VW,58458,Grey,Ford,Focus,Used,2010,32508,Hatchback,True,Hybrid
U67LX7TR,707,Red,Honda,Accord,Certified Used,2008,44554,Coupe,False,Electric
EOMHI01Y,143147,White,Volkswagen,Tiguan,New,2008,40596,SUV,False,Diesel
54GMM7UE,180354,Yellow,BMW,5 Series,Certified Used,2001,26763,SUV,True,Petrol
KTQKME1S,147446,Grey,Hyundai,Sonata,Used,2010,28920,Sedan,True,Hybrid
AXZ9OLWS,231032,Blue,Toyota,Corolla,New,2015,34986,Convertible,True,Electric
5EDQ5469,246073,Red,Kia,Optima,Used,2009,19628,Truck,True,Diesel
XCCK4KMI,183572,Black,Honda,Accord,New,2019,42875,SUV,False,Petrol
1HIGURDS,220100,Yellow,Chevrolet,Silverado,Certified Used,2002,26138,Coupe,True,Hybrid
O1RT5I74,230412,Black,Chevrolet,Silverado,Used,2023,28880,Sedan,False,Petrol
GSYJBYYQ,136991,White,Volkswagen,Golf,Used,2007,28513,Coupe,True,Electric
ZRX96SLJ,16722,Grey,Nissan,Sentra,Certified Used,2009,44305,Coupe,True,Electric
S518LUTC,94981,Orange,Volkswagen,Tiguan,Certified Used,2015,42626,Convertible,False,Electric
D47EDIEM,8861,Silver,Toyota,Corolla,Used,2021,41621,Convertible,True,Petrol
1PY5RS0U,38506,Brown,Nissan,Altima,Used,2017,40222,Coupe,True,Diesel
A1N79UPX,158927,Yellow,Volkswagen,Tiguan,New,2011,41110,Coupe,True,Diesel
QH0KJPKC,48316,Silver,Ford,F-150,New,2012,52026,Sedan,False,Hybrid
GAHRT57Y,244881,Silver,Volkswagen,Tiguan,Used,2017,23026,Sedan,False,Diesel
44HSD54J,123433,Silver,Volkswagen,Tiguan,Certified Used,2011,34976,Truck,False,Hybrid
